Classifiers,Performance,Performance Parameters,performance parameters,performance
MLR,99.20,Precision,Specificity,99.72
MLR,97.90,Accuracy,F-measure,99.20
MLR,99.20,Recall,AUC,99.16
KNN,98.08,Precision,Specificity,99.32
KNN,94.00,Accuracy,F-measure,98.08
KNN,98.08,Recall,AUC,98.04
SVM,96.80,Precision,Specificity,98.86
SVM,89.92,Accuracy,F-measure,97.19
SVM,97.58,Recall,AUC,97.32
RF,96.80,Precision,Specificity,98.86
RF,93.70,Accuracy,F-measure,96.41
RF,96.03,Recall,AUC,96.21
Bayes,89.60,Precision,Specificity,96.34
Bayes,83.82,Accuracy,F-measure,91.06
Bayes,92.56,Recall,AUC,91.54
CART,93.60,Precision,Specificity,97.70
CART,84.45,Accuracy,F-measure,92.49
CART,91.41,Recall,AUC,92.10
